reading_time
2.0
4.2
2.7
2.3
4.4
2.5
4.0
3.6
2.3
4.6
4.7
1.6
2.6
4.0
6.0
1.6
4.5
5.0
3.5
1.1
3.8
3.1
4.6
4.9
3.2
4.6
1.7
1.7
6.0
2.1
